증상,응답,진료과
기침,감기나 기관지 자극이 원인일 수 있어요. 물을 많이 마셔보세요.,호흡기과
가래,가래가 지속된다면 호흡기 질환일 수 있으니 이비인후과 진료를 권장해요.,호흡기과
콧물,알레르기나 감기 증상일 수 있어요. 실내 습도를 유지해보세요.,호흡기과
코막힘,알레르기성 비염이나 감기일 수 있어요. 생리식염수 세척이 도움돼요.,"호흡기과, 이비인후과"
목통증,목감기나 인후염이 원인일 수 있어요. 따뜻한 물로 자주 헹궈주세요.,"호흡기과, 이비인후과"
눈충혈,눈의 피로나 결막염이 원인일 수 있어요. 안약이나 휴식을 추천해요.,"이비인후과, 안과"
눈물흘림,알레르기나 눈 자극 때문일 수 있어요. 실내 공기질을 확인해보세요.,"이비인후과, 안과"
귀통증,중이염이나 외이도염 가능성이 있어요. 증상이 심하면 이비인후과 방문을 추천해요.,이비인후과
치통,치아 염증일 수 있으니 가까운 치과에서 진료 받아보세요.,치과
복통,식사나 스트레스가 원인이 될 수 있어요. 증상이 지속되면 내과 진료를 권해요.,내과
메스꺼움,소화불량이나 긴장 때문일 수 있어요. 물을 천천히 마셔보세요.,내과
구토,급성 위장염 등일 수 있어요. 수분 보충이 중요해요.,내과
설사,장염일 수 있으니 수분을 충분히 섭취하고 기름진 음식은 피해주세요.,내과
변비,식이섬유 섭취를 늘리고 충분한 수분 섭취가 도움이 돼요.,내과
소화불량,"위에 부담이 되는 음식은 피하시고, 식사 후 가벼운 산책을 추천해요.",내과
속쓰림,역류성 식도염 증상일 수 있어요. 자극적인 음식은 피해주세요.,내과
생리통,따뜻한 찜질과 휴식이 도움이 됩니다. 심할 경우 산부인과 상담이 필요해요.,산부인과
요통,근육 긴장이나 자세 문제일 수 있어요. 스트레칭과 온찜질을 시도해보세요.,정형외과
관절통,무리한 운동이나 퇴행성 관절염 가능성이 있어요. 휴식 후 통증이 지속되면 정형외과를 추천해요.,정형외과
근육통,무리한 활동 후 일시적일 수 있어요. 마사지와 수분 보충이 좋아요.,정형외과
피로감,수면 부족이나 영양 불균형이 원인일 수 있어요. 충분한 휴식이 필요해요.,가정의학과
불안감,"깊은 호흡, 명상, 규칙적인 생활이 도움이 될 수 있어요.",정신건강의학과
우울감,혼자 고민하지 마시고 가까운 사람이나 전문가와 대화를 나눠보세요.,정신건강의학과
불면증,수면 환경 개선과 수면 루틴 유지가 도움이 돼요. 카페인은 피해주세요.,정신건강의학과
두근거림,스트레스나 카페인 과다 섭취가 원인일 수 있어요. 안정이 필요해요.,정신건강의학과
호흡곤란,심각한 증상일 수 있어요. 즉시 병원을 방문하세요.,호흡기과
가슴통증,심장 관련 증상일 수 있어요. 즉시 내원 권장해요.,응급의학과
어지럼증,혈압 문제나 빈혈일 수 있어요. 앉아서 안정을 취해보세요.,신경과
손발저림,혈액순환 문제나 신경압박일 수 있어요. 자세 조정이 필요해요.,"정형외과, 신경과"
식욕부진,위장 상태나 심리적 요인이 원인일 수 있어요. 가벼운 식사로 회복을 도와보세요.,내과
무기력,컨디션이 떨어졌을 수 있어요. 충분한 수면과 햇빛을 쬐어보세요.,"정신건강의학과, 가정의학과"
간지러움,피부 트러블이나 알레르기일 수 있어요. 보습제나 항히스타민제가 도움이 돼요.,피부과
기절,"저혈압, 뇌혈류 문제 가능성이 있어요. 즉시 진료를 받으세요.",응급의학과
발열,감염 증상일 수 있어요. 해열제 복용과 수분 보충이 필요합니다.,기타
오한,발열 초기에 자주 나타납니다. 체온을 따뜻하게 유지해보세요.,기타
시야흐림,눈 피로 혹은 혈압 문제일 수 있어요. 안정을 취하세요.,"신경과, 안과"
빈뇨,방광염 가능성이 있으니 따뜻한 물을 충분히 마셔보세요.,비뇨기과
혈뇨,비뇨기계 문제일 수 있어요. 즉시 비뇨기과 진료가 필요합니다.,비뇨기과
방광통,방광염 가능성이 있습니다. 물을 많이 마시고 병원을 방문하세요.,비뇨기과
피부발진,알레르기나 접촉성 피부염일 수 있어요. 노출을 피하세요.,피부과
손발냉증,혈액순환이 좋지 않을 수 있어요. 따뜻하게 유지해주세요.,기타
불규칙한맥박,부정맥 가능성이 있으므로 심전도 검사를 권장해요.,응급의학과
식은땀,자율신경 반응일 수 있어요. 스트레스나 저혈당 여부도 확인해보세요.,가정의학과
기억력저하,"수면 부족, 스트레스, 영양부족 등이 원인일 수 있어요.",정신건강의학과
손떨림,"저혈당, 피로, 불안일 수 있어요. 휴식을 취해보세요.","정형외과, 신경과"
갈증,체내 수분 부족일 수 있으니 물을 충분히 마셔보세요.,"내과, 내분비내과"
입마름,스트레스나 당뇨 증상일 수 있어요. 물 섭취를 늘려보세요.,"내과, 가정의학과"
입냄새,구강 위생 문제 또는 소화기계 이상일 수 있어요.,"치과, 가정의학과"
다한증,체온 조절 이상이나 자율신경 문제일 수 있어요. 내분비과 상담을 권장해요.,"내과, 내분비내과"
구강통증,치주 질환이나 구강 궤양일 수 있어요. 치과 진료가 필요할 수 있어요.,치과
